D_m,u_mps,p_back_MPa,dx_m,t_end_s,breakthrough_time_s,mixed_length_at_breakthrough_m,h2_n2_interface_at_breakthrough_m,n2_air_interface_at_breakthrough_m,effective_n2_at_breakthrough_m,flammable_length_at_breakthrough_m,time_front_80pct_s,mixed_length_at_80pct_m,h2_n2_interface_at_80pct_m,n2_air_interface_at_80pct_m,effective_n2_at_80pct_m,flammable_length_at_80pct_m,mixed_length_final_m,mixed_length_max_m,flammable_length_max_m,flammable_time_integral_m_s,effective_n2_min_m,Re_min,Re_max,K_min,K_max,Fr,stratification_risk_level,dp_estimated_Pa,dp_over_p_back,recommended_flag
0.7,5.0,0.02,10.0,2880.0,2376.0,350.0,350.0,0.0,0.0,0.0,1944.0,800.0,400.0,400.0,670.0,0.0,0.0,840.0,0.0,0.0,0.0,6505.423860334554,48254.0435004703,1.750078,1.750078,1.9784418137393804,moderate_stratification_risk,1082.2195028990307,0.054110975144951536,False
0.7,5.0,0.05,10.0,2880.0,2376.0,350.0,350.0,0.0,0.0,0.0,1944.0,800.0,400.0,400.0,670.0,0.0,0.0,840.0,0.0,0.0,0.0,16263.550393765983,119657.27275993161,1.750078,1.750078,1.9784418137393804,moderate_stratification_risk,2242.88972428835,0.044857794485767,False
0.7,5.0,0.1,10.0,2880.0,2376.0,350.0,350.0,0.0,0.0,0.0,1944.0,800.0,400.0,400.0,670.0,0.0,0.0,840.0,0.0,0.0,0.0,32527.090665474752,238221.21318021035,1.750078,1.750078,1.9784418137393804,moderate_stratification_risk,3968.473798655548,0.03968473798655548,False
0.7,7.0,0.02,10.0,2057.1428571428573,1697.142857142857,350.0,350.0,0.0,0.0,0.0,1388.5714285714287,800.0,400.0,400.0,670.0,0.0,0.0,840.0,0.0,0.0,0.0,9107.611775369935,70193.34540700789,2.4500779999999995,2.4500779999999995,2.7698185392351324,moderate_stratification_risk,1973.6548282256804,0.09868274141128403,False
0.7,7.0,0.05,10.0,2057.1428571428573,1697.142857142857,350.0,350.0,0.0,0.0,0.0,1388.5714285714287,800.0,400.0,400.0,670.0,0.0,0.0,840.0,0.0,0.0,0.0,22769.00731162181,173112.88159132088,2.4500779999999995,2.4500779999999995,2.7698185392351324,moderate_stratification_risk,4133.005880698527,0.08266011761397055,False
0.7,7.0,0.1,10.0,2057.1428571428573,1697.142857142857,350.0,350.0,0.0,0.0,0.0,1388.5714285714287,800.0,400.0,400.0,670.0,0.0,0.0,840.0,0.0,0.0,0.0,45537.99017167723,343600.5261237443,2.4500779999999995,2.4500779999999995,2.7698185392351324,moderate_stratification_risk,7378.783191784414,0.07378783191784415,True
0.7,9.0,0.02,10.0,1600.0,1320.0,350.0,350.0,0.0,0.0,0.0,1080.0,800.0,400.0,400.0,670.0,0.0,0.0,840.0,0.0,0.0,0.0,11709.815856178955,94529.89765775768,3.1500779999999997,3.1500779999999997,3.561195264730885,lower_stratification_risk,3099.0350264512763,0.1549517513225638,False
0.7,9.0,0.05,10.0,1600.0,1320.0,350.0,350.0,0.0,0.0,0.0,1080.0,800.0,400.0,400.0,670.0,0.0,0.0,840.0,0.0,0.0,0.0,29274.497080196532,231738.81817323566,3.1500779999999997,3.1500779999999997,3.561195264730885,lower_stratification_risk,6542.136564552951,0.13084273129105903,False
0.7,9.0,0.1,10.0,1600.0,1320.0,350.0,350.0,0.0,0.0,0.0,1080.0,800.0,400.0,400.0,670.0,0.0,0.0,840.0,0.0,0.0,0.0,58548.94682547527,458454.425440745,3.1500779999999997,3.1500779999999997,3.561195264730885,lower_stratification_risk,11763.87793399955,0.1176387793399955,False
1.0,5.0,0.02,10.0,2880.0,2376.0,390.0,390.0,0.0,0.0,0.0,1944.0,960.0,480.0,480.0,630.0,0.0,0.0,1000.0,0.0,0.0,0.0,9293.453840386941,67778.03132548141,2.500078,2.500078,1.6552831803793144,moderate_stratification_risk,699.2450517598458,0.034962252587992286,False
1.0,5.0,0.05,10.0,2880.0,2376.0,390.0,390.0,0.0,0.0,0.0,1944.0,960.0,480.0,480.0,630.0,0.0,0.0,1000.0,0.0,0.0,0.0,23233.626582682824,168571.6742125618,2.500078,2.500078,1.6552831803793144,moderate_stratification_risk,1458.8393664959945,0.02917678732991989,False
1.0,5.0,0.1,10.0,2880.0,2376.0,390.0,390.0,0.0,0.0,0.0,1944.0,960.0,480.0,480.0,630.0,0.0,0.0,1000.0,0.0,0.0,0.0,46467.24427035959,336156.7114758006,2.500078,2.500078,1.6552831803793144,moderate_stratification_risk,2590.9025142189653,0.02590902514218965,False
1.0,7.0,0.02,10.0,2057.1428571428573,1697.142857142857,390.0,390.0,0.0,0.0,0.0,1388.5714285714287,960.0,480.0,480.0,630.0,0.0,0.0,1000.0,0.0,0.0,0.0,13010.85214583084,97338.2902315243,3.500078,3.500078,2.3173964525310407,moderate_stratification_risk,1278.6231059883216,0.06393115529941608,False
1.0,7.0,0.05,10.0,2057.1428571428573,1697.142857142857,390.0,390.0,0.0,0.0,0.0,1388.5714285714287,960.0,480.0,480.0,630.0,0.0,0.0,1000.0,0.0,0.0,0.0,32527.111078034442,241219.2572217776,3.500078,3.500078,2.3173964525310407,moderate_stratification_risk,2693.4929348290984,0.053869858696581965,False
1.0,7.0,0.1,10.0,2057.1428571428573,1697.142857142857,390.0,390.0,0.0,0.0,0.0,1388.5714285714287,960.0,480.0,480.0,630.0,0.0,0.0,1000.0,0.0,0.0,0.0,65054.20055705056,480059.73051158903,3.500078,3.500078,2.3173964525310407,moderate_stratification_risk,4824.23000699963,0.0482423000699963,False
1.0,9.0,0.02,10.0,1600.0,1320.0,390.0,390.0,0.0,0.0,0.0,1080.0,960.0,480.0,480.0,630.0,0.0,0.0,1000.0,0.0,0.0,0.0,16728.265290357947,129131.42049387727,4.500078,4.500078,2.979509724682767,moderate_stratification_risk,2011.350723805577,0.10056753619027885,False
1.0,9.0,0.05,10.0,1600.0,1320.0,390.0,390.0,0.0,0.0,0.0,1080.0,960.0,480.0,480.0,630.0,0.0,0.0,1000.0,0.0,0.0,0.0,41820.62596666681,318701.77537332097,4.500078,4.500078,2.979509724682767,moderate_stratification_risk,4269.045261499957,0.08538090522999914,False
1.0,9.0,0.1,10.0,1600.0,1320.0,390.0,390.0,0.0,0.0,0.0,1080.0,960.0,480.0,480.0,630.0,0.0,0.0,1000.0,0.0,0.0,0.0,83641.2099676807,632837.9615413037,4.500078,4.500078,2.979509724682767,moderate_stratification_risk,7698.016810410984,0.07698016810410985,True
1.2,5.0,0.02,10.0,2880.0,2376.0,410.0,410.0,0.0,0.0,0.0,1944.0,1040.0,520.0,520.0,590.0,0.0,0.0,1080.0,0.0,0.0,0.0,11152.140835518565,80829.15501782707,3.000078,3.000078,1.511059894921072,moderate_stratification_risk,560.006983429637,0.02800034917148185,False
1.2,5.0,0.05,10.0,2880.0,2376.0,410.0,410.0,0.0,0.0,0.0,1944.0,1040.0,520.0,520.0,590.0,0.0,0.0,1080.0,0.0,0.0,0.0,27880.344618884796,201247.11987369353,3.000078,3.000078,1.511059894921072,moderate_stratification_risk,1172.1041438382665,0.02344208287676533,False
1.2,5.0,0.1,10.0,2880.0,2376.0,410.0,410.0,0.0,0.0,0.0,1944.0,1040.0,520.0,520.0,590.0,0.0,0.0,1080.0,0.0,0.0,0.0,55760.68089376188,401556.7359576134,3.000078,3.000078,1.511059894921072,moderate_stratification_risk,2085.4556096036385,0.020854556096036387,False
1.2,7.0,0.02,10.0,2057.1428571428573,1697.142857142857,410.0,410.0,0.0,0.0,0.0,1388.5714285714287,1040.0,520.0,520.0,590.0,0.0,0.0,1080.0,0.0,0.0,0.0,15613.013199523433,115521.15137858133,4.200078,4.200078,2.115483852889501,moderate_stratification_risk,1025.332976782237,0.05126664883911185,False
1.2,7.0,0.05,10.0,2057.1428571428573,1697.142857142857,410.0,410.0,0.0,0.0,0.0,1388.5714285714287,1040.0,520.0,520.0,590.0,0.0,0.0,1080.0,0.0,0.0,0.0,39032.514977393315,286788.1671259124,4.200078,4.200078,2.115483852889501,moderate_stratification_risk,2166.1439906201754,0.04332287981240351,False
1.2,7.0,0.1,10.0,2057.1428571428573,1697.142857142857,410.0,410.0,0.0,0.0,0.0,1388.5714285714287,1040.0,520.0,520.0,590.0,0.0,0.0,1080.0,0.0,0.0,0.0,78065.00964318734,571311.4472277185,4.200078,4.200078,2.115483852889501,moderate_stratification_risk,3885.7788658238273,0.038857788658238274,False
1.2,9.0,0.02,10.0,1600.0,1320.0,410.0,410.0,0.0,0.0,0.0,1080.0,1040.0,520.0,520.0,590.0,0.0,0.0,1080.0,0.0,0.0,0.0,20073.899786238657,152368.44957842474,5.400078,5.400078,2.7199078108579298,moderate_stratification_risk,1614.329117390431,0.08071645586952156,False
1.2,9.0,0.05,10.0,1600.0,1320.0,410.0,410.0,0.0,0.0,0.0,1080.0,1040.0,520.0,520.0,590.0,0.0,0.0,1080.0,0.0,0.0,0.0,50184.71457775888,377005.2421453813,5.400078,5.400078,2.7199078108579298,moderate_stratification_risk,3435.38379673958,0.0687076759347916,False
1.2,9.0,0.1,10.0,1600.0,1320.0,410.0,410.0,0.0,0.0,0.0,1080.0,1040.0,520.0,520.0,590.0,0.0,0.0,1080.0,0.0,0.0,0.0,100369.38962173858,749656.9223655254,5.400078,5.400078,2.7199078108579298,moderate_stratification_risk,6203.217221002285,0.06203217221002286,True
1.4,5.0,0.02,10.0,2880.0,2376.0,440.0,440.0,0.0,0.0,0.0,1944.0,1120.0,560.0,560.0,570.0,0.0,0.0,1160.0,0.0,0.0,0.0,13010.827986490087,93896.68102220434,3.500078,3.500078,1.3989696226781287,moderate_stratification_risk,464.43156320127906,0.023221578160063955,False
1.4,5.0,0.05,10.0,2880.0,2376.0,440.0,440.0,0.0,0.0,0.0,1944.0,1120.0,560.0,560.0,570.0,0.0,0.0,1160.0,0.0,0.0,0.0,32527.06292152364,233953.52595897947,3.500078,3.500078,1.3989696226781287,moderate_stratification_risk,974.6176684816701,0.0194923533696334,False
1.4,5.0,0.1,10.0,2880.0,2376.0,440.0,440.0,0.0,0.0,0.0,1944.0,1120.0,560.0,560.0,570.0,0.0,0.0,1160.0,0.0,0.0,0.0,65054.117929851665,467008.5394333007,3.500078,3.500078,1.3989696226781287,moderate_stratification_risk,1736.671614122271,0.01736671614122271,False
1.4,7.0,0.02,10.0,2057.1428571428573,1697.142857142857,440.0,440.0,0.0,0.0,0.0,1388.5714285714287,1120.0,560.0,560.0,570.0,0.0,0.0,1160.0,0.0,0.0,0.0,18215.174622938404,133744.38764554608,4.900078,4.900078,1.9585574717493794,moderate_stratification_risk,851.234070237098,0.0425617035118549,False
1.4,7.0,0.05,10.0,2057.1428571428573,1697.142857142857,440.0,440.0,0.0,0.0,0.0,1388.5714285714287,1120.0,560.0,560.0,570.0,0.0,0.0,1160.0,0.0,0.0,0.0,45537.91952045613,332434.65930307,4.900078,4.900078,1.9585574717493794,moderate_stratification_risk,1802.5760768486468,0.036051521536972934,False
1.4,7.0,0.1,10.0,2057.1428571428573,1697.142857142857,440.0,440.0,0.0,0.0,0.0,1388.5714285714287,1120.0,560.0,560.0,570.0,0.0,0.0,1160.0,0.0,0.0,0.0,91075.81973890284,662695.0115154531,4.900078,4.900078,1.9585574717493794,moderate_stratification_risk,3237.7363114916398,0.032377363114916395,False
1.4,9.0,0.02,10.0,1600.0,1320.0,440.0,440.0,0.0,0.0,0.0,1080.0,1120.0,560.0,560.0,570.0,0.0,0.0,1160.0,0.0,0.0,0.0,23419.534990252665,175684.92441459387,6.300078,6.300078,2.5181453208206324,moderate_stratification_risk,1341.1837631673611,0.06705918815836806,False
1.4,9.0,0.05,10.0,1600.0,1320.0,440.0,440.0,0.0,0.0,0.0,1080.0,1120.0,560.0,560.0,570.0,0.0,0.0,1160.0,0.0,0.0,0.0,58548.80443784141,435463.5349633588,6.300078,6.300078,2.5181453208206324,moderate_stratification_risk,2860.260016295953,0.05720520032591906,False
1.4,9.0,0.1,10.0,1600.0,1320.0,440.0,440.0,0.0,0.0,0.0,1080.0,1120.0,560.0,560.0,570.0,0.0,0.0,1160.0,0.0,0.0,0.0,117097.57125294345,866742.3878113197,6.300078,6.300078,2.5181453208206324,moderate_stratification_risk,5170.52977119156,0.0517052977119156,True
